schname,md_earn,num_search,locality,total_earning_sd,lg_md
WILKES UNIVERSITY,49900.0,624.0,city_small,0.6406629228313925,10.817796321618971
WILSON COLLEGE,32600.0,156.0,city_small,-0.7871413663014629,10.392098241730961
YORK COLLEGE PENNSYLVANIA,47900.0,468.0,sub_mid,0.4755988431628543,10.776891660007811
BROWN UNIVERSITY,59700.0,628.0,city_mid,1.4494769132072296,10.997104049659168
BRYANT UNIVERSITY,61900.0,471.0,sub_large,1.6310474008426217,11.033291613631048
PROVIDENCE COLLEGE,59600.0,312.0,city_mid,1.4412237092238027,10.995427631436174
RHODE ISLAND COLLEGE,39600.0,312.0,sub_large,-0.2094170874615792,10.586609649448985
UNIVERSITY OF RHODE ISLAND,48200.0,624.0,sub_large,0.500358455113135,10.783135046711445
RHODE ISLAND SCHOOL OF DESIGN,47300.0,624.0,city_mid,0.4260796192622928,10.764286715905591
ROGER WILLIAMS UNIVERSITY,47200.0,468.0,sub_large,0.41782641527886594,10.762170357789895
SALVE REGINA UNIVERSITY,48300.0,468.0,sub_large,0.5086116590965619,10.785207543360087
NORTHPOINT BIBLE COLLEGE,25000.0,156.0,sub_large,-1.414384869041908,10.12667110305036
ALLEN UNIVERSITY,19400.0,314.0,city_mid,-1.876564292113815,9.873079890114703
ANDERSON UNIVERSITY,32800.0,1256.0,city_small,-0.770634958334609,10.39821428171237
CHARLESTON SOUTHERN UNIVERSITY,36100.0,314.0,city_small,-0.49827922688152104,10.494075844768336
BENEDICT COLLEGE,21400.0,314.0,city_mid,-1.7115002124452767,9.97119292889014
SOUTHERN WESLEYAN UNIVERSITY,41300.0,628.0,sub_large,-0.06911261974332174,10.628641991731053
COLLEGE OF CHARLESTON,39700.0,471.0,city_mid,-0.20116388347815228,10.589131655274922
CITADEL MILITARY COLLEGE OF SOUTH CAROLINA,52500.0,471.0,city_mid,0.8552462264004921,10.868587496017359
CLAFLIN UNIVERSITY,27500.0,471.0,town_mid,-1.2080547694562354,10.221977646629885
