schname,md_earn,num_search,locality,total_earning_sd,lg_md,earning_code
BASTYR UNIVERSITY,32000.0,314.0,sub_large,-0.8366605902020243,10.373522431293592,0
NORTHWEST UNIVERSITY,40200.0,312.0,sub_large,-0.15989786356101773,10.601647149919609,0
APPALACHIAN BIBLE COLLEGE,27900.0,314.0,Rural_large,-1.1750419535225276,10.236417809461043,0
BLUEFIELD STATE COLLEGE,29400.0,471.0,town_small,-1.051243893771124,10.288783966353765,0
CONCORD UNIVERSITY,32900.0,471.0,town_small,-0.7623817543511822,10.401258331428318,0
DAVIS & ELKINS COLLEGE,35900.0,471.0,town_small,-0.5147856348483748,10.488520429241627,0
FAIRMONT STATE UNIVERSITY,34200.0,468.0,town_mid,-0.6550901025666324,10.440010162389305,0
GLENVILLE STATE COLLEGE,31400.0,468.0,town_small,-0.8861798141025858,10.354595018522993,0
MARSHALL UNIVERSITY,35100.0,468.0,city_small,-0.5808112667157901,10.465984899076615,0
OHIO VALLEY UNIVERSITY,34000.0,312.0,city_small,-0.6715965105334861,10.434145214930487,0
SALEM INTERNATIONAL UNIVERSITY,29700.0,312.0,Rural_mid,-1.0264842818208433,10.298935994257638,0
SHEPHERD UNIVERSITY,38500.0,624.0,town_large,-0.3002023312792752,10.55843949396453,0
WEST VIRGINIA STATE UNIVERSITY,29500.0,624.0,sub_mid,-1.042990689787697,10.292179440058462,0
WEST LIBERTY UNIVERSITY,33200.0,468.0,Rural_large,-0.7376221424009014,10.410335274932896,0
ALVERNO COLLEGE,37400.0,314.0,city_large,-0.3909875750969712,10.529452721013085,0
BELOIT COLLEGE,37900.0,471.0,city_small,-0.34972155517983666,10.542732775946709,0
LAKELAND COLLEGE,39900.0,312.0,Rural_large,-0.18465747551129846,10.594156665220533,0
MARANATHA BAPTIST UNIVERSITY,32000.0,468.0,town_large,-0.8366605902020243,10.373522431293592,0
MARIAN UNIVERSITY,39700.0,1248.0,city_small,-0.20116388347815228,10.589131655274922,0
MILWAUKEE INSTITUTE OF ART & DESIGN,30600.0,156.0,city_large,-0.9522054459700011,10.328787967145063,0
MOUNT MARY UNIVERSITY,37000.0,468.0,city_large,-0.4240003910306788,10.518700218288165,0
NORTHLAND COLLEGE,31900.0,156.0,town_small,-0.8449137941854512,10.370392636243981,0
SILVER LAKE COLLEGE OF THE HOLY FAMILY,38100.0,157.0,town_mid,-0.33321514721298284,10.547995807489514,0
WISCONSIN LUTHERAN COLLEGE,37300.0,624.0,city_large,-0.3992407790803981,10.526775414924009,0
UNIVERSITY OF GUAM,31300.0,468.0,town_small,-0.8944330180860127,10.351405324899678,0
UNIVERSIDAD ADVENTISTA DE LAS ANTILLAS,21600.0,312.0,sub_mid,-1.694993804478423,9.980494888896912,0
ATLANTIC UNIVERSITY COLLEGE,18600.0,157.0,city_small,-1.9425899239812303,9.83097062169695,0
UNIVERSIDAD METROPOLITANA,19800.0,156.0,city_large,-1.8435514761801073,9.893487720457795,0
UNIVERSIDAD DEL ESTE,19200.0,312.0,city_mid,-1.8930707000806688,9.862717639992917,0
UNIVERSIDAD DEL SAGRADO CORAZON,20100.0,468.0,city_large,-1.8187918642298266,9.908524844053396,0
UNIVERSIDAD POLITECNICA DE PUERTO RICO,25400.0,468.0,city_large,-1.3813720531082003,10.142543822310387,0
UNIVERSIDAD DEL TURABO,18900.0,312.0,sub_large,-1.9178303120309494,9.846970109700957,0
UNIVERSITY OF THE VIRGIN ISLANDS,34200.0,780.0,town_small,-0.6550901025666324,10.440010162389305,0
ST JOHN'S COLLEGE,32300.0,942.0,Rural_large,-0.8119009782517436,10.382853468483827,0
